filter,family,brain_area,n_area,n_v1,contrast_vs_v1,ci_low,ci_high,bootstrap_replicates
original_ge_q10,speed_up,AL,3550,69886,0.027294264059885553,0.024004669179836482,0.030807978713284362,5000
original_ge_q10,slow_down,LM,11491,69886,-0.058906963888710195,-0.06147871985935889,-0.05606887072166246,5000
original_ge_q10,slow_down,RL,8827,69886,-0.10800115918963027,-0.11140186462634549,-0.1048860852093071,5000
original_ge_q10,slow_down,AL,3550,69886,-0.10337261061737824,-0.1072893293004345,-0.09924373613506708,5000
original_ge_q25,contrast,LM,9100,59888,0.007113942856502242,0.002780497289357267,0.01077461597464406,5000
original_ge_q25,contrast,RL,6450,59888,0.00992797651367816,0.004330920079422212,0.015803340724607266,5000
original_ge_q25,contrast,AL,2691,59888,0.04133520312871919,0.03223261052417769,0.04775597742689285,5000
original_ge_q25,rotation,LM,9100,59888,-0.00975391438968587,-0.01312844719727099,-0.00652057442948305,5000
original_ge_q25,rotation,RL,6450,59888,-0.02174837429694454,-0.025495291065239643,-0.0184556189652812,5000
original_ge_q25,rotation,AL,2691,59888,0.010989646410807463,0.006300761490996898,0.015371799176236257,5000
original_ge_q25,translation,LM,9100,59888,0.05168686085658919,0.04784436092253049,0.05531834500931621,5000
original_ge_q25,translation,RL,6450,59888,0.05428599097101794,0.050292231681949885,0.05819749890404538,5000
original_ge_q25,translation,AL,2691,59888,0.06720046389280315,0.06035810783848107,0.0740558609434278,5000
original_ge_q25,temporal_reverse,LM,9100,59888,-0.016579954004314,-0.019630002153889044,-0.013628667949686837,5000
original_ge_q25,temporal_reverse,RL,6450,59888,-0.015578288560108011,-0.019240598514779918,-0.011804720884984191,5000
original_ge_q25,temporal_reverse,AL,2691,59888,-0.022848003221301427,-0.02694742469392025,-0.017959910845999447,5000
original_ge_q25,speed_up,LM,9100,59888,0.012374919470843793,0.010415759169751931,0.014659573559226707,5000
original_ge_q25,speed_up,RL,6450,59888,0.02182803998703131,0.01970369249873424,0.024419809459410042,5000
original_ge_q25,speed_up,AL,2691,59888,0.020515362213710087,0.01668510653289709,0.024237852905057925,5000
original_ge_q25,slow_down,LM,9100,59888,-0.06255820683605773,-0.06518055921090626,-0.05974208697102766,5000
original_ge_q25,slow_down,RL,6450,59888,-0.10894827509841898,-0.11296872100068664,-0.10458435582658776,5000
original_ge_q25,slow_down,AL,2691,59888,-0.10603721154166523,-0.11056346168407179,-0.10106364902922176,5000
cc_ge_0.3,contrast,LM,12106,68665,0.015926641641592076,0.012193084288633022,0.019111365287453195,5000
cc_ge_0.3,contrast,RL,9747,68665,0.03956801504988228,0.03577847776667487,0.043761619671211935,5000
cc_ge_0.3,contrast,AL,3658,68665,0.0503319812206281,0.045336729535334776,0.056112324605503826,5000
cc_ge_0.3,rotation,LM,12106,68665,0.005698198648860009,0.00317636321446966,0.008838414122133422,5000
cc_ge_0.3,rotation,RL,9747,68665,0.009925347967695508,0.006704438943595459,0.013177789844000422,5000
cc_ge_0.3,rotation,AL,3658,68665,0.025940429035435253,0.02135618102182598,0.03002867369281139,5000
cc_ge_0.3,translation,LM,12106,68665,0.06366708755700762,0.060458580685992046,0.06701520961381634,5000
cc_ge_0.3,translation,RL,9747,68665,0.09075152012349325,0.08657255264402282,0.09407934273752126,5000
cc_ge_0.3,translation,AL,3658,68665,0.08442857415539312,0.07886165538548774,0.08991850572668925,5000
cc_ge_0.3,temporal_reverse,LM,12106,68665,-0.004183651366789998,-0.0072116282156660825,-0.0015369652378000127,5000
cc_ge_0.3,temporal_reverse,RL,9747,68665,0.010573547751301593,0.008055514273332249,0.013377961362849404,5000
cc_ge_0.3,temporal_reverse,AL,3658,68665,-0.0027549165570434075,-0.00763082748934279,0.0017328506265311139,5000
cc_ge_0.3,speed_up,LM,12106,68665,0.021253428126165597,0.01945763168029333,0.022953804518922715,5000
cc_ge_0.3,speed_up,RL,9747,68665,0.03822080226436997,0.03582369189159108,0.04019576373782699,5000
cc_ge_0.3,speed_up,AL,3658,68665,0.032880400676365884,0.02966906638012818,0.036344574158518606,5000
cc_ge_0.3,slow_down,LM,12106,68665,-0.05266425413787035,-0.0552064104884299,-0.049998884232954094,5000
cc_ge_0.3,slow_down,RL,9747,68665,-0.1000626404339795,-0.10357024597488934,-0.09715856617265056,5000
cc_ge_0.3,slow_down,AL,3658,68665,-0.10157642449927673,-0.10607381924401367,-0.09780608498741743,5000
cc_ge_0.5,contrast,LM,9694,56037,0.015592538888201113,0.011825935757147573,0.019773381750450108,5000
cc_ge_0.5,contrast,RL,7078,56037,0.04451301884895076,0.039968578616411427,0.0494504583120236,5000
cc_ge_0.5,contrast,AL,2685,56037,0.05280570674184659,0.04662516728744245,0.05979884592609433,5000
cc_ge_0.5,rotation,LM,9694,56037,0.004072024013875852,0.0008059590650892846,0.007160452013699785,5000
cc_ge_0.5,rotation,RL,7078,56037,0.009855701762137126,0.006126108219854101,0.013799756081145224,5000
cc_ge_0.5,rotation,AL,2685,56037,0.026307546707654783,0.021208914534017465,0.031330314058702714,5000
cc_ge_0.5,translation,LM,9694,56037,0.06356445259389154,0.05995602367331174,0.06727450807037745,5000
cc_ge_0.5,translation,RL,7078,56037,0.09583153664817157,0.0918753812847502,0.09947166399310069,5000
cc_ge_0.5,translation,AL,2685,56037,0.08794884238547962,0.08177817454149629,0.09364073192606719,5000
cc_ge_0.5,temporal_reverse,LM,9694,56037,-0.006778999035316313,-0.009508336795234832,-0.0038800731238483772,5000
cc_ge_0.5,temporal_reverse,RL,7078,56037,0.00775996560573744,0.004110627402333614,0.011183455313744043,5000
cc_ge_0.5,temporal_reverse,AL,2685,56037,-0.007278288611599959,-0.014348290131843976,-0.0011757790091247535,5000
cc_ge_0.5,speed_up,LM,9694,56037,0.019832724709123117,0.017529626361181126,0.021807578129403548,5000
cc_ge_0.5,speed_up,RL,7078,56037,0.03713320586415125,0.03473690724175258,0.03969415936585279,5000
cc_ge_0.5,speed_up,AL,2685,56037,0.031009949386403446,0.027146884095422454,0.03502702624260235,5000
cc_ge_0.5,slow_down,LM,9694,56037,-0.05526006421444063,-0.05801960267433895,-0.05254064023071388,5000
cc_ge_0.5,slow_down,RL,7078,56037,-0.10445041280399892,-0.10812078450780034,-0.10075154497664907,5000
cc_ge_0.5,slow_down,AL,2685,56037,-0.10923983470017429,-0.11412616624605817,-0.10565726681048833,5000
cc_ge_0.7,contrast,LM,4079,24406,0.02546525704320768,0.018313391821691914,0.03125888909242354,5000
cc_ge_0.7,contrast,RL,2333,24406,0.0520322611337225,0.044375270176398224,0.058984490613259125,5000
cc_ge_0.7,contrast,AL,983,24406,0.06511716521939115,0.05658094946829571,0.07631430087340976,5000
