task_index,session,scan_idx,unit_id,readout_id,brain_area,original_response,selectivity_full,selectivity_leave_self_out
102518,7,3,6080,5607,V1,29.551462,0.4240519475060252,0.4236616039788742
102519,8,5,8511,8007,V1,23.545177,0.3221972434529728,0.3206982557648218
102520,6,2,5953,5495,V1,130.57574,0.5792029786991382,0.5774881877078584
102521,9,3,6746,6216,V1,41.560318,0.4922085041113863,0.49151093098011966
102522,6,2,927,856,V1,17.0182,0.27273616806588286,0.27100325677568815
102523,5,6,6022,5517,V1,103.99348,0.5059626932958644,0.5029984607701348
102524,7,5,2825,2559,V1,282.89954,0.5618171337627235,0.504224251165256
102525,6,7,5254,4778,V1,70.32993,0.5642880820553529,0.5571045894134037
102526,5,6,8526,7875,V1,122.70128,0.5372264894784238,0.5209858870626688
102527,6,6,2023,1859,V1,25.65346,0.39570334812363006,0.3955492526319027
102528,5,6,251,237,V1,64.07852,0.5843943005996526,0.583750033667351
102529,9,6,552,507,V1,22.929115,0.4610862088283124,0.4608513880693244
102530,9,4,2600,2415,V1,32.819233,0.44621100196574154,0.44566060343903274
102531,6,4,3028,2766,V1,6.444005,0.2646474183480621,0.2625616514867704
102532,5,6,8363,7714,V1,12.807008,0.3624978087397351,0.36233504936991606
102533,9,4,6028,5624,V1,42.85634,0.4706334515792935,0.46983897579179057
102534,4,7,6975,6180,V1,213.83153,0.5058192239887295,0.49792009462677755
102535,5,6,1079,1018,V1,142.40694,0.5858381259281499,0.5790509084706144
102536,5,7,574,531,V1,21.022934,0.5548792445422916,0.5547452216132706
102537,7,5,1644,1489,V1,15.266934,0.46649291836072143,0.46571447084564144
102538,6,2,6760,6246,V1,108.36554,0.5042926140663438,0.49653800260498354
102539,9,6,3824,3565,V1,39.067722,0.6747656726222006,0.6721564142164294
102540,9,6,2936,2728,V1,26.81697,0.267671575105216,0.2672465439186962
102541,9,4,530,497,V1,8.08977,0.30738237676043206,0.30716824353336925
102542,4,7,2524,2196,V1,51.42294,0.5555791909744509,0.5550617779751417
102543,5,6,6339,5810,V1,4.6254044,0.21703819588744247,0.21669647866213038
102544,6,4,5506,5086,V1,77.73583,0.6974591732331102,0.696286966112373
102545,7,3,526,480,V1,17.105593,0.4900019375614897,0.4878466007636989
102546,5,6,3049,2804,V1,64.06508,0.7308325121190635,0.7291833130514151
102547,5,7,7705,6999,V1,44.605717,0.3672792598806342,0.366932320933186
102548,6,7,7684,6990,V1,32.322426,0.4174382401796632,0.416859205963253
102549,7,5,1165,1075,V1,46.496056,0.5447909864268563,0.5443603245030829
102550,8,5,8100,7636,V1,62.598953,0.3437170435393677,0.34187498558678875
102551,6,4,288,272,V1,34.76422,0.544226539745851,0.5430939410743372
102552,8,5,4196,3998,V1,45.201385,0.2741649134053871,0.2731483704143156
102553,7,5,5702,5157,V1,6.7633953,0.31741988651838016,0.3173875910618267
102554,5,7,8718,7995,V1,14.903058,0.39147081197687794,0.3912286690655382
102555,6,4,6818,6305,V1,47.924862,0.5270362117403171,0.5265722449834191
102556,9,4,6588,6148,V1,14.05781,0.4828298142439068,0.48267218010614865
102557,8,5,603,580,V1,34.298504,0.2957324893285531,0.29438671329476374
