brain_area,layer,condition,parameter,median_retention,n
RL,L23,speed_up,2.0,0.869298004295858,5437
RL,L23,temporal_reverse,-1.0,0.7050845258744192,5437
RL,L23,translation,1.0,0.9823177946727352,5437
RL,L23,translation,2.0,0.9374577636023348,5437
RL,L23,translation,4.0,0.807362580088774,5437
RL,L23,translation,8.0,0.5140467728967768,5437
RL,L23,translation,16.0,0.1815829659470715,5437
RL,L23,translation,32.0,0.0676461814693367,5437
RL,L23,translation,48.0,0.0458980397938239,5437
RL,L4,contrast,0.25,0.0872084212434455,2666
RL,L4,contrast,0.5,0.3559947128432487,2666
RL,L4,contrast,0.75,0.7431653407285896,2666
RL,L4,contrast,1.25,1.0891982866975434,2666
RL,L4,contrast,1.5,1.0793628891111222,2666
RL,L4,contrast,2.0,0.97329891399323,2666
RL,L4,rotation,2.0,0.9996155242162096,2666
RL,L4,rotation,5.0,0.9626429951842216,2666
RL,L4,rotation,10.0,0.8532119654184315,2666
RL,L4,rotation,15.0,0.7141672217380968,2666
RL,L4,rotation,30.0,0.3427170381701808,2666
RL,L4,rotation,60.0,0.0994107512580618,2666
RL,L4,rotation,90.0,0.06553240998969405,2666
RL,L4,slow_down,0.5,0.7569519550552339,2666
RL,L4,slow_down,0.67,0.8565091851975941,2666
RL,L4,slow_down,0.8,0.9116744338644487,2666
RL,L4,speed_up,1.25,0.9612241207429051,2666
RL,L4,speed_up,1.5,0.919242671676411,2666
RL,L4,speed_up,2.0,0.8640492786426719,2666
RL,L4,temporal_reverse,-1.0,0.7086175426505302,2666
RL,L4,translation,1.0,0.9814483861887321,2666
RL,L4,translation,2.0,0.9348601359185721,2666
RL,L4,translation,4.0,0.7999073583879127,2666
RL,L4,translation,8.0,0.4971377296214838,2666
RL,L4,translation,16.0,0.16385145890457153,2666
RL,L4,translation,32.0,0.05542012383342155,2666
RL,L4,translation,48.0,0.03644801628995635,2666
RL,L5,contrast,0.25,0.07799365870716335,1736
RL,L5,contrast,0.5,0.3229992009434659,1736
RL,L5,contrast,0.75,0.716866098188125,1736
RL,L5,contrast,1.25,1.116769419034359,1736
RL,L5,contrast,1.5,1.1293277644873747,1736
RL,L5,contrast,2.0,1.0461948650212727,1736
RL,L5,rotation,2.0,1.0009589638313363,1736
RL,L5,rotation,5.0,0.9669072106979645,1736
RL,L5,rotation,10.0,0.8670815753086545,1736
RL,L5,rotation,15.0,0.7396349393819492,1736
RL,L5,rotation,30.0,0.3833473292511787,1736
RL,L5,rotation,60.0,0.12393162223024085,1736
RL,L5,rotation,90.0,0.08171394619289735,1736
RL,L5,slow_down,0.5,0.7036231397629966,1736
RL,L5,slow_down,0.67,0.8214371135344465,1736
RL,L5,slow_down,0.8,0.891356514445,1736
RL,L5,speed_up,1.25,0.9566701284321917,1736
RL,L5,speed_up,1.5,0.914450778990699,1736
RL,L5,speed_up,2.0,0.8565704423033966,1736
RL,L5,temporal_reverse,-1.0,0.6937926852977229,1736
RL,L5,translation,1.0,0.9837712025519179,1736
RL,L5,translation,2.0,0.9424486626519715,1736
RL,L5,translation,4.0,0.8230610012293347,1736
RL,L5,translation,8.0,0.5456820270928735,1736
RL,L5,translation,16.0,0.199986539514142,1736
RL,L5,translation,32.0,0.063356046400441,1736
RL,L5,translation,48.0,0.040310312892690395,1736
V1,L23,contrast,0.25,0.063245575931645,13627
V1,L23,contrast,0.5,0.3873546625528713,13627
V1,L23,contrast,0.75,0.7949790714710149,13627
V1,L23,contrast,1.25,1.03303895347134,13627
V1,L23,contrast,1.5,0.9840888907045976,13627
V1,L23,contrast,2.0,0.8550247696089786,13627
V1,L23,rotation,2.0,0.9973884714237032,13627
V1,L23,rotation,5.0,0.9580093341572667,13627
V1,L23,rotation,10.0,0.841726216219582,13627
V1,L23,rotation,15.0,0.6964695227487883,13627
V1,L23,rotation,30.0,0.3164600447119946,13627
V1,L23,rotation,60.0,0.0827521071270289,13627
V1,L23,rotation,90.0,0.055841791242233,13627
V1,L23,slow_down,0.5,0.8136132023134177,13627
V1,L23,slow_down,0.67,0.9058604439845412,13627
V1,L23,slow_down,0.8,0.951899860740946,13627
V1,L23,speed_up,1.25,0.9474167377582464,13627
V1,L23,speed_up,1.5,0.8761848036808854,13627
V1,L23,speed_up,2.0,0.7754300397740426,13627
V1,L23,temporal_reverse,-1.0,0.6872896787448748,13627
V1,L23,translation,1.0,0.9768608921008716,13627
V1,L23,translation,2.0,0.9211097003850116,13627
V1,L23,translation,4.0,0.7659144867215494,13627
V1,L23,translation,8.0,0.4359970214468281,13627
V1,L23,translation,16.0,0.1169334678647663,13627
V1,L23,translation,32.0,0.0279177821152137,13627
V1,L23,translation,48.0,0.0149597588023436,13627
V1,L4,contrast,0.25,0.08321567466294184,8072
V1,L4,contrast,0.5,0.4522691880500725,8072
V1,L4,contrast,0.75,0.8416014284099225,8072
V1,L4,contrast,1.25,0.9968791269154702,8072
V1,L4,contrast,1.5,0.9269433177747669,8072
V1,L4,contrast,2.0,0.7883161333294615,8072
V1,L4,rotation,2.0,0.9961773513955118,8072
V1,L4,rotation,5.0,0.9583567537583326,8072
V1,L4,rotation,10.0,0.8443559417260644,8072
V1,L4,rotation,15.0,0.6998299666990069,8072
V1,L4,rotation,30.0,0.31604222574507757,8072
V1,L4,rotation,60.0,0.07428268601309909,8072
V1,L4,rotation,90.0,0.0448477328034937,8072
V1,L4,slow_down,0.5,0.8952394924325247,8072
V1,L4,slow_down,0.67,0.9568548167043212,8072
V1,L4,slow_down,0.8,0.9828150668860824,8072
V1,L4,speed_up,1.25,0.958520305047377,8072
V1,L4,speed_up,1.5,0.893246069334727,8072
V1,L4,speed_up,2.0,0.8153129423210637,8072
V1,L4,temporal_reverse,-1.0,0.7113773050455939,8072
V1,L4,translation,1.0,0.9756372152156234,8072
V1,L4,translation,2.0,0.9150161222948084,8072
V1,L4,translation,4.0,0.7420962255787134,8072
V1,L4,translation,8.0,0.391509303775709,8072
V1,L4,translation,16.0,0.09342717820302875,8072
V1,L4,translation,32.0,0.025965042267616548,8072
V1,L4,translation,48.0,0.0161807828265189,8072
V1,L5,contrast,0.25,0.0672908248934762,3347
V1,L5,contrast,0.5,0.3941722789913703,3347
V1,L5,contrast,0.75,0.7925448114782336,3347
V1,L5,contrast,1.25,1.0475931403939052,3347
V1,L5,contrast,1.5,1.019151972166232,3347
V1,L5,contrast,2.0,0.9230312441502168,3347
V1,L5,rotation,2.0,0.9989109317576408,3347
V1,L5,rotation,5.0,0.9668239025921642,3347
V1,L5,rotation,10.0,0.8698051675362259,3347
V1,L5,rotation,15.0,0.7453145258434994,3347
V1,L5,rotation,30.0,0.3897413504774568,3347
V1,L5,rotation,60.0,0.1242387519938847,3347
V1,L5,rotation,90.0,0.0838722171949834,3347
V1,L5,slow_down,0.5,0.8293786286796768,3347
V1,L5,slow_down,0.67,0.9205154083489204,3347
V1,L5,slow_down,0.8,0.963018294112318,3347
V1,L5,speed_up,1.25,0.9527089191254444,3347
V1,L5,speed_up,1.5,0.8835239784691281,3347
V1,L5,speed_up,2.0,0.784017959737387,3347
V1,L5,temporal_reverse,-1.0,0.7117395921258922,3347
V1,L5,translation,1.0,0.9818210197245072,3347
V1,L5,translation,2.0,0.937735570583631,3347
V1,L5,translation,4.0,0.8125701126395541,3347
V1,L5,translation,8.0,0.5209006186398637,3347
V1,L5,translation,16.0,0.1690632022848206,3347
V1,L5,translation,32.0,0.0362288811943746,3347
V1,L5,translation,48.0,0.0166910322243493,3347
