task_index,session,scan_idx,unit_id,readout_id,unit_x,unit_y,unit_z,brain_area,field,cc_max,population,pt_root_id,em_root_key,mtype,layer,is_em_linked,is_unique_em_neuron,layer_source
6086,7,5,6012,5430,595.31,193.51,368.55,LM,5,0.929516,all_model_readouts_v1,,,,unassigned,False,False,
6087,7,5,4925,4472,1299.36,152.31,230.45,RL,4,0.436901,all_model_readouts_v1,8.646911366734583e+17,root_864691136673458311,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
6088,5,7,4242,3868,952.56,380.09,298.67,RL,4,0.634195,all_model_readouts_v1,8.646911363630093e+17,root_864691136363009250,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
6089,6,4,6621,6116,1212.0,473.09,409.88,RL,6,0.728355,all_model_readouts_v1,8.646911353396864e+17,root_864691135339686374,L5b,L5,True,True,aibs_metamodel_mtypes_v661_v2
6090,5,6,9084,8423,1221.52,382.28,571.38,RL,8,0.37466,all_model_readouts_v1,8.646911360840626e+17,root_864691136084062572,L6tall-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
6091,9,4,4630,4318,1193.45,761.41,177.53,V1,4,0.711121,all_model_readouts_v1,8.646911349183186e+17,root_864691134918318602,L2c,L23,True,False,aibs_metamodel_mtypes_v661_v2
6092,9,3,7842,7217,1057.89,963.02,342.95,V1,6,0.431129,all_model_readouts_v1,8.646911357274655e+17,root_864691135727465535,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
6093,6,7,8398,7687,784.9,747.92,528.51,V1,8,0.434203,all_model_readouts_v1,8.646911356159012e+17,root_864691135615901131,L5b,L5,True,False,aibs_metamodel_mtypes_v661_v2
6094,9,3,4032,3735,209.57,564.79,331.39,V1,3,0.373417,all_model_readouts_v1,,,,unassigned,False,False,
6095,5,6,2633,2417,1144.66,65.02,166.99,AL,2,0.142905,all_model_readouts_v1,8.646911362012379e+17,root_864691136201237950,L2a,L23,True,True,aibs_metamodel_mtypes_v661_v2
6096,6,6,6181,5729,865.79,129.76,398.04,AL,6,0.60953,all_model_readouts_v1,8.646911358665501e+17,root_864691135866550149,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
6097,4,7,7976,7110,1092.54,185.28,503.84,AL,8,0.635804,all_model_readouts_v1,8.646911354639382e+17,root_864691135463938117,L5ET,L5,True,False,aibs_metamodel_mtypes_v661_v2
6098,5,7,8739,8016,984.3,95.59,565.0,AL,8,0.431382,all_model_readouts_v1,8.646911359520351e+17,root_864691135952035107,L6short-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
6099,4,7,4,2,296.3,59.25,133.32,LM,1,0.276301,all_model_readouts_v1,,,,unassigned,False,False,
6100,7,3,2582,2403,993.15,251.49,208.04,RL,2,0.534509,all_model_readouts_v1,8.64691135891205e+17,root_864691135891205001,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
6101,9,3,7256,6671,1186.65,140.11,338.22,RL,6,0.612953,all_model_readouts_v1,8.646911351560308e+17,root_864691135156030820,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
6102,6,2,7385,6821,1108.06,444.86,424.14,RL,6,0.80961,all_model_readouts_v1,8.646911360906324e+17,root_864691136090632503,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
6103,9,3,7391,6797,1112.75,338.06,339.53,RL,6,,all_model_readouts_v1,,,,unassigned,False,False,
6104,7,3,2118,1965,891.36,1066.85,215.35,V1,2,0.66589,all_model_readouts_v1,8.646911356937074e+17,root_864691135693707455,L2c,L23,True,False,aibs_metamodel_mtypes_v661_v2
6105,6,7,6986,6341,1082.37,516.06,394.2,V1,6,0.760411,all_model_readouts_v1,8.646911358520773e+17,root_864691135852077255,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
6106,7,3,7315,6761,865.91,714.21,422.09,V1,6,0.784507,all_model_readouts_v1,8.646911359436704e+17,root_864691135943670388,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
6107,9,4,5738,5353,286.52,413.35,190.25,V1,5,0.315249,all_model_readouts_v1,,,,unassigned,False,False,
6108,6,6,3527,3265,946.69,113.18,262.74,AL,4,0.702121,all_model_readouts_v1,8.646911360571807e+17,root_864691136057180632,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
6109,5,6,4971,4569,850.98,146.41,307.2,AL,4,0.652572,all_model_readouts_v1,8.646911364437249e+17,root_864691136443724931,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
6110,6,7,6039,5482,952.35,254.02,391.56,AL,6,0.234884,all_model_readouts_v1,8.646911357413871e+17,root_864691135741387115,L5a,L5,True,False,aibs_metamodel_mtypes_v661_v2
6111,6,7,3178,2874,771.93,187.64,256.68,AL,4,0.43472,all_model_readouts_v1,,,,unassigned,False,False,
6112,5,6,3651,3360,241.92,49.5,309.79,LM,3,0.404554,all_model_readouts_v1,,,,unassigned,False,False,
6113,5,6,2624,2408,1145.53,391.87,169.11,RL,2,0.734813,all_model_readouts_v1,8.646911363106252e+17,root_864691136310625114,L2a,L23,True,False,aibs_metamodel_mtypes_v661_v2
6114,4,7,6402,5675,1131.63,348.17,369.44,RL,6,0.724065,all_model_readouts_v1,8.646911356848111e+17,root_864691135684811191,L4c,L4,True,True,aibs_metamodel_mtypes_v661_v2
6115,5,6,7627,6990,1155.06,181.21,442.02,RL,6,0.630775,all_model_readouts_v1,8.646911363890771e+17,root_864691136389077111,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
6116,5,6,9086,8425,953.97,432.31,571.01,RL,8,,all_model_readouts_v1,,,,unassigned,False,False,
6117,8,5,2151,2045,969.63,1050.42,226.66,V1,2,0.400389,all_model_readouts_v1,8.646911351565027e+17,root_864691135156502628,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
6118,9,3,8317,7662,1212.49,850.09,341.73,V1,6,0.398344,all_model_readouts_v1,8.646911356994964e+17,root_864691135699496482,L4b,L4,True,False,aibs_metamodel_mtypes_v661_v2
6119,5,7,6771,6153,846.01,643.39,438.54,V1,6,0.783276,all_model_readouts_v1,8.646911363125676e+17,root_864691136312567613,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
6120,6,7,7704,7008,331.96,375.53,530.08,V1,7,0.595581,all_model_readouts_v1,,,,unassigned,False,False,
6121,7,5,4650,4217,960.46,140.01,232.66,AL,4,0.793196,all_model_readouts_v1,8.646911359416997e+17,root_864691135941699700,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
6122,6,7,5963,5418,882.26,124.23,390.25,AL,6,0.334226,all_model_readouts_v1,8.646911369909446e+17,root_864691136990944661,L4c,L4,True,True,aibs_metamodel_mtypes_v661_v2
6123,6,7,8457,7746,961.71,93.88,526.35,AL,8,0.562315,all_model_readouts_v1,8.64691135322959e+17,root_864691135322959004,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
6124,6,4,8687,8088,1143.85,125.95,542.01,AL,8,0.698721,all_model_readouts_v1,8.646911351355028e+17,root_864691135135502873,L6tall-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
6125,8,5,3678,3496,686.96,296.31,250.41,LM,3,0.774738,all_model_readouts_v1,,,,unassigned,False,False,
6126,9,3,1586,1464,875.27,326.32,319.02,RL,2,0.76495,all_model_readouts_v1,8.646911369236644e+17,root_864691136923664356,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
6127,7,5,6785,6124,1279.88,362.22,366.47,RL,6,0.625758,all_model_readouts_v1,8.646911354415794e+17,root_864691135441579336,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
6128,6,7,6748,6116,1290.31,227.39,391.32,RL,6,0.737391,all_model_readouts_v1,8.646911361058877e+17,root_864691136105887705,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
6129,5,6,2594,2382,1171.5,238.18,167.92,RL,2,,all_model_readouts_v1,,,,unassigned,False,False,
6130,8,5,2295,2179,998.02,475.11,230.87,V1,2,0.687703,all_model_readouts_v1,8.646911358900374e+17,root_864691135890037385,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
6131,5,6,7481,6854,1258.68,943.44,448.39,V1,6,0.316641,all_model_readouts_v1,8.646911360263314e+17,root_864691136026331449,L4c,L4,True,True,aibs_metamodel_mtypes_v661_v2
6132,6,6,8334,7759,795.17,638.35,534.39,V1,8,0.389687,all_model_readouts_v1,8.64691135494429e+17,root_864691135494429072,L5b,L5,True,False,aibs_metamodel_mtypes_v661_v2
6133,4,7,124,103,679.06,640.53,117.08,V1,1,0.647802,all_model_readouts_v1,,,,unassigned,False,False,
6134,9,3,2801,2619,979.5,188.14,318.0,AL,2,0.468415,all_model_readouts_v1,8.64691136043239e+17,root_864691136043238998,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
6135,6,2,6540,6042,978.58,75.63,421.77,AL,6,0.607635,all_model_readouts_v1,8.646911361087249e+17,root_864691136108724920,L4c,L4,True,False,aibs_metamodel_mtypes_v661_v2
6136,7,5,8564,7767,899.66,208.45,502.04,AL,8,0.616393,all_model_readouts_v1,8.646911359908547e+17,root_864691135990854656,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
6137,5,6,3814,3519,766.86,100.39,312.26,AL,3,0.389897,all_model_readouts_v1,,,,unassigned,False,False,
6138,8,5,5893,5580,692.14,194.63,379.56,LM,5,0.698182,all_model_readouts_v1,,,,unassigned,False,False,
6139,7,5,4611,4181,1205.99,379.07,232.33,RL,4,0.678831,all_model_readouts_v1,8.646911354085604e+17,root_864691135408560329,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
6140,7,5,6873,6208,1165.39,474.37,367.42,RL,6,0.600481,all_model_readouts_v1,8.64691136423468e+17,root_864691136423468079,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
6141,7,3,8941,8287,1156.07,174.7,487.94,RL,8,0.600762,all_model_readouts_v1,8.646911356982533e+17,root_864691135698253333,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
