session,scan,readout,static_gabor_response,brain_area,grating_response,MESI,Natural,dynamic_gabor_response,medi_response
5,7,862,13.111162185668944,V1,2.434826135635376,37.24501800537109,18.232606887817383,10.161242485046388,178.12863159179688
9,4,7573,1.93974244594574,V1,1.0617257356643677,6.158308506011963,10.499763488769531,0.4461924731731415,12.201940536499023
9,3,5418,0.9686054587364196,LM,6.804218292236328,1.587642788887024,6.304910182952881,4.645052433013916,8.763016700744629
8,5,2872,1.4457285404205322,LM,11.162079811096191,5.5193772315979,5.718263149261475,7.448854923248291,26.92870330810547
9,3,1384,2.383617401123047,AL,2.172394037246704,5.163566112518311,12.381839752197266,8.465899467468262,26.931419372558597
5,7,6063,5.526933670043945,RL,2.595399141311645,10.389474868774414,9.779942512512209,4.1854681968688965,24.38452911376953
6,2,2393,1.174185276031494,LM,7.8231520652771,2.7544829845428467,9.81258773803711,6.633365154266357,13.56785011291504
9,3,7817,5.128537654876709,RL,3.781195163726807,5.491422176361084,6.624821186065674,5.028375625610352,14.298831939697266
5,7,3462,1.2537076473236084,V1,2.9868314266204834,22.03243827819824,16.73970603942871,6.21572732925415,277.1705322265625
5,6,6180,2.690745115280152,RL,2.611323595046997,1.7365124225616455,27.02078628540039,6.269588470458984,15.72042465209961
5,7,4728,5.8751068115234375,V1,2.6919782161712646,23.16889381408692,10.656362533569336,0.5125861167907715,34.130245208740234
7,5,7040,1.2936631441116333,LM,2.0777857303619385,2.2168397903442383,4.7738447189331055,2.2877349853515625,4.776696681976318
8,5,7115,6.746090412139893,RL,3.379653215408325,49.65522003173828,22.157676696777344,14.470720291137695,161.01695251464844
9,3,6546,0.3387024700641632,LM,3.3381948471069336,2.709399461746216,4.262450695037842,0.337672084569931,10.405896186828612
6,2,5109,2.4704692363739014,LM,18.58342742919922,3.912731647491455,11.60028839111328,20.48673820495605,5.549321174621582
7,3,5890,2.433314085006714,LM,1.490471363067627,73.0914535522461,6.97625732421875,1.5587438344955444,65.49275207519531
6,7,7346,0.6599013209342957,AL,4.131965637207031,3.410618782043457,5.173718452453613,2.105372905731201,22.74353408813477
8,5,1527,5.556394100189209,RL,4.996623992919922,11.64791488647461,9.70947551727295,30.54047203063965,99.87605285644533
5,6,1506,2.3635590076446533,RL,8.181623458862305,4.298149108886719,8.393414497375488,3.981954574584961,4.254640579223633
8,5,2292,1.123219013214111,RL,6.24531364440918,1.420385241508484,4.231172561645508,2.4998645782470703,2.0883026123046875
6,2,7042,2.4966015815734863,LM,7.356189727783203,20.514219284057617,8.005766868591309,2.4308180809021,69.31781768798828
7,3,727,6.822750091552734,V1,4.9905314445495605,30.98128128051757,14.050932884216309,2.008266925811768,46.58343505859375
4,7,5836,0.5584972500801086,AL,4.859862804412842,0.8805264234542847,19.86382484436035,2.6914682388305664,10.203723907470703
5,6,1445,2.31196665763855,V1,7.616601943969727,5.8420090675354,4.863327503204346,4.222615718841553,27.302074432373047
9,3,6646,1.3038451671600342,AL,5.370303153991699,5.1688385009765625,10.33081340789795,1.6391046047210691,5.579437732696533
5,6,1362,1.0054062604904177,RL,3.8851728439331055,9.513023376464844,10.622231483459473,1.648470163345337,71.7479019165039
9,3,3449,8.764850616455078,V1,9.95839500427246,43.005348205566406,16.699081420898438,5.31456184387207,23.71843910217285
9,3,4177,2.5956902503967285,LM,1.6856980323791504,7.023053646087647,13.940369606018066,2.0408902168273926,9.482460975646973
5,6,3894,1.0738648176193235,RL,4.949234962463379,1.1492515802383425,4.018646240234375,4.0572428703308105,8.777854919433594
9,4,1264,2.554638862609864,LM,2.320887804031372,2.779905319213867,3.0996768474578857,2.9041171073913574,5.157092094421387
5,6,6810,4.084339618682861,AL,15.758953094482422,2.1651506423950195,6.747286319732666,16.4140567779541,19.304332733154297
6,6,7768,2.0306098461151123,AL,2.0419061183929443,3.951195001602173,4.63340950012207,3.1893506050109863,11.142465591430664
9,6,2618,0.6905955076217651,LM,5.713213920593262,44.107364654541016,11.31304168701172,3.1452908515930176,496.3143615722656
6,4,5991,4.056674003601074,LM,16.597753524780273,4.907190322875977,22.998384475708008,44.35082244873047,109.01622772216795
5,6,2611,0.7553768754005432,LM,2.562401056289673,1.997199296951294,3.981294631958008,0.5503340363502502,2.4896068572998047
5,6,3710,1.5305869579315186,LM,1.4940603971481323,1.7831791639328003,3.379191398620605,0.903022289276123,1.9048136472702024
6,4,6758,9.964069366455078,RL,26.23181915283203,52.438255310058594,18.12763977050781,5.026422500610352,87.57111358642578
7,5,2015,3.192180156707764,RL,2.4545464515686035,5.867105007171631,14.4434814453125,10.597700119018556,79.47489929199219
9,3,1378,4.21087646484375,AL,3.761642217636109,6.529525279998779,17.99890899658203,20.159217834472656,9.676204681396484
7,5,2013,0.8727240562438965,RL,9.507043838500977,3.0263237953186035,7.306582450866699,7.636838912963867,27.085906982421875
6,2,112,3.420114755630493,LM,3.649209976196289,6.260162353515625,5.112731456756592,1.970581650733948,6.77330207824707
6,4,6021,0.7277891635894775,AL,1.9580488204956048,3.481895685195923,12.75221347808838,10.33030128479004,16.518451690673828
6,7,1422,3.33941650390625,RL,2.888090848922729,3.097296476364136,5.528374671936035,5.026674747467041,13.813973426818848
7,5,3912,15.99868392944336,V1,9.780747413635254,18.3926944732666,8.433333396911621,7.444003582000732,23.96297645568848
6,4,1416,4.545011043548584,V1,10.263349533081056,9.62038230895996,21.981840133666992,5.396700382232666,74.44497680664062
5,7,1523,8.931537628173828,V1,15.443791389465332,24.433025360107425,11.98391819000244,17.187971115112305,42.28654098510742
9,6,4735,3.401362419128418,RL,1.9911695718765257,6.975487232208252,5.8266143798828125,4.747157096862793,20.001354217529297
8,5,7278,3.9212522506713854,V1,1.967247009277344,221.5908660888672,20.627870559692383,15.145885467529297,288.6138000488281
6,4,4237,0.402372270822525,AL,0.7716639637947083,2.072359085083008,1.9088456630706787,2.268040180206299,19.45517349243164
9,6,1871,0.3864023089408874,V1,1.6801799535751345,1.4117697477340698,19.795228958129883,1.488329529762268,14.079452514648438
4,7,6680,4.102108001708984,V1,3.741509437561035,13.46263027191162,10.359726905822754,3.687969207763672,19.37797737121582
6,2,4795,4.414022922515869,RL,2.832862138748169,10.259177207946776,10.768426895141602,4.223549842834473,10.890089988708496
9,4,5175,1.4646600484848022,AL,2.697863817214966,2.575900316238404,6.057127475738525,4.769669055938721,8.181554794311523
9,4,3410,0.8964470624923706,V1,3.1055407524108887,3.415719985961914,5.462031364440918,2.61877965927124,12.300976753234863
6,4,2098,4.220202922821045,AL,8.250472068786621,10.854619979858398,6.475623607635498,8.333694458007812,29.597475051879883
9,6,2087,1.564489722251892,RL,7.224362373352051,3.60568642616272,6.631589412689209,8.008440017700195,19.085636138916016
8,5,9224,1.5836397409439087,RL,1.893410921096801,1.7328729629516602,3.9994430541992174,1.5485771894454956,8.48587703704834
6,2,6681,0.8826516270637512,AL,5.0485453605651855,1.918909311294556,9.814092636108398,3.311367988586426,13.588318824768066
8,5,7119,2.5727696418762207,RL,2.6758882999420166,13.49375343322754,8.768389701843262,6.294350624084473,31.19331932067871
6,2,3511,1.7850326299667358,V1,3.0817630290985107,4.556052684783936,15.991888046264648,1.9637141227722168,14.279593467712402
6,7,1800,16.288965225219727,V1,6.566877365112305,28.878433227539062,14.810815811157228,15.929095268249512,39.90364074707031
9,6,1239,0.528414249420166,LM,2.000070333480835,0.9273998737335204,5.257722854614258,2.457459688186645,3.8472087383270255
6,7,1581,1.5563719272613523,LM,10.335956573486328,10.116722106933594,4.387721061706543,1.7213702201843262,25.31053733825684
9,3,608,2.379768848419189,V1,2.172226905822754,8.637903213500977,7.562139511108398,4.26041316986084,33.92808532714844
6,4,4629,1.0572782754898071,RL,4.413355350494385,3.431924819946289,4.511592864990234,5.718940258026123,18.648754119873047
8,5,3782,1.2411324977874756,LM,3.6372687816619873,6.062321186065674,10.732593536376951,0.6431639194488525,33.608028411865234
7,5,7684,2.639396905899048,LM,2.2678136825561523,1.1104298830032349,10.660905838012695,3.421851396560669,10.62200164794922
6,6,7630,8.101788520812988,V1,3.1658434867858887,12.583752632141112,7.912665843963623,1.683935523033142,17.048675537109375
5,7,5456,5.848321914672852,V1,14.282989501953123,4.450686931610107,6.1639933586120605,24.588558197021484,34.95286178588867
6,4,747,4.627999782562256,LM,6.458812713623047,6.430285453796387,17.884719848632812,1.1755714416503906,13.36684513092041
5,7,1330,3.4581243991851807,RL,3.589221477508545,8.892121315002441,5.234719753265381,5.140751361846924,53.8414192199707
7,5,8084,1.1658923625946045,RL,5.414124965667725,1.641170859336853,2.887998580932617,1.4245107173919678,1.5304949283599854
5,7,6420,0.9189876914024352,AL,2.642086744308472,3.2012288570404053,6.110031604766846,10.685662269592283,135.9659881591797
8,5,985,0.5097029209136963,V1,2.396292209625244,5.505781650543213,10.839795112609863,1.91511344909668,104.24822235107422
8,5,9923,1.4579418897628784,AL,2.71802830696106,3.6887731552124015,11.790125846862791,5.660591125488281,21.959291458129883
6,7,5645,5.716377258300781,RL,1.7167229652404783,15.875452041625977,11.909283638000488,3.3664019107818604,12.63113021850586
