session,scan_idx,readout_id,task_index,unit_id,unit_x,unit_y,unit_z,brain_area,field,cc_max,population,pt_root_id,em_root_key,mtype,layer,is_em_linked,is_unique_em_neuron,layer_source
6,7,7346,1553,8045,1103.66,141.81,527.24,AL,8,0.632713,all_model_readouts_v1,8.646911353082426e+17,root_864691135308242502,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
8,5,1527,27459,1610,1256.56,307.8,230.0,RL,2,0.840793,all_model_readouts_v1,8.646911354768055e+17,root_864691135476805544,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
5,6,1506,23036,1619,1152.55,542.87,170.04,RL,2,0.642877,all_model_readouts_v1,8.646911353560061e+17,root_864691135356006095,L2a,L23,True,True,aibs_metamodel_mtypes_v661_v2
8,5,2292,35056,2416,1311.16,184.06,230.5,RL,2,0.50369,all_model_readouts_v1,8.646911353862222e+17,root_864691135386222165,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
6,2,7042,43034,7625,591.23,356.88,558.31,LM,7,0.818862,all_model_readouts_v1,,,,unassigned,False,False,
7,3,727,69544,789,194.98,1076.15,210.87,V1,1,0.481784,all_model_readouts_v1,,,,unassigned,False,False,
4,7,5836,2140,6579,942.51,201.45,372.82,AL,6,0.822616,all_model_readouts_v1,8.646911359694847e+17,root_864691135969484645,L4c,L4,True,False,aibs_metamodel_mtypes_v661_v2
5,6,1445,63089,1555,860.52,448.16,171.58,V1,2,0.58575,all_model_readouts_v1,8.646911365222793e+17,root_864691136522279313,L2b,L23,True,True,aibs_metamodel_mtypes_v661_v2
9,3,6646,6876,7227,971.7,128.48,339.04,AL,6,0.59321,all_model_readouts_v1,8.646911358417923e+17,root_864691135841792227,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
5,6,1362,30159,1466,962.38,301.42,169.87,RL,2,0.92688,all_model_readouts_v1,8.646911361367786e+17,root_864691136136778621,L2c,L23,True,True,aibs_metamodel_mtypes_v661_v2
9,3,3449,50293,3716,577.04,902.1,334.11,V1,3,,all_model_readouts_v1,,,,unassigned,False,False,
9,3,4177,62200,4512,715.65,406.91,329.86,LM,4,0.716299,all_model_readouts_v1,,,,unassigned,False,False,
5,6,3894,6452,4245,1242.03,254.06,304.25,RL,4,0.6962,all_model_readouts_v1,8.646911359255409e+17,root_864691135925540878,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
9,4,1264,45242,1344,683.67,265.19,169.58,LM,1,0.549052,all_model_readouts_v1,,,,unassigned,False,False,
